symbol,stage,fast,mid1,mid2,mid3,sharpe,expectancy,trades,win_rate
ICICIBANK,1,30,120,60,120,-0.022558,-0.747522,487,31.01
ICICIBANK,1,30,240,60,120,-0.022408,-0.745054,484,31.20
ICICIBANK,1,30,360,60,120,-0.023099,-0.766319,483,31.26
ICICIBANK,1,30,480,60,120,-0.022617,-0.753863,479,31.32
ICICIBANK,1,30,600,60,120,-0.022353,-0.749485,476,31.51
ICICIBANK,1,30,720,60,120,-0.021810,-0.730682,475,31.58
ICICIBANK,1,60,120,120,240,-0.013900,-0.858028,305,36.07
ICICIBANK,1,60,240,120,240,-0.013900,-0.858028,305,36.07
ICICIBANK,1,60,360,120,240,-0.014149,-0.872444,304,36.18
ICICIBANK,1,60,480,120,240,-0.014269,-0.885463,301,36.21
ICICIBANK,1,60,600,120,240,-0.013977,-0.873951,299,36.45
ICICIBANK,1,60,720,120,240,-0.013991,-0.877613,298,36.24
ICICIBANK,1,90,120,180,360,-0.008524,-0.762748,220,31.36
ICICIBANK,1,90,240,180,360,-0.008524,-0.762748,220,31.36
ICICIBANK,1,90,360,180,360,-0.008524,-0.762748,220,31.36
ICICIBANK,1,90,480,180,360,-0.008811,-0.787088,219,31.05
ICICIBANK,1,90,600,180,360,-0.008619,-0.774729,218,31.19
ICICIBANK,1,90,720,180,360,-0.008590,-0.775844,217,31.34
ICICIBANK,1,120,240,240,480,-0.005507,-0.627316,182,29.12
ICICIBANK,1,120,360,240,480,-0.005507,-0.627316,182,29.12
ICICIBANK,1,120,480,240,480,-0.005507,-0.627316,182,29.12
ICICIBANK,1,120,600,240,480,-0.005308,-0.610162,181,29.28
ICICIBANK,1,120,720,240,480,-0.005349,-0.617816,180,28.89
ICICIBANK,1,150,240,300,600,0.004100,0.437190,146,39.73
ICICIBANK,1,150,360,300,600,0.004100,0.437190,146,39.73
ICICIBANK,1,150,480,300,600,0.004100,0.437190,146,39.73
ICICIBANK,1,150,600,300,600,0.004100,0.437190,146,39.73
ICICIBANK,1,150,720,300,600,0.004100,0.437190,146,39.73
ICICIBANK,1,180,240,360,720,0.010771,1.632809,116,43.97
ICICIBANK,1,180,360,360,720,0.010771,1.632809,116,43.97
ICICIBANK,1,180,480,360,720,0.010771,1.632809,116,43.97
ICICIBANK,1,180,600,360,720,0.010771,1.632809,116,43.97
ICICIBANK,1,180,720,360,720,0.010771,1.632809,116,43.97
ICICIBANK,2,180,240,360,720,0.010771,1.632809,116,43.97
ICICIBANK,2,180,240,840,720,0.010048,1.552432,114,43.86
ICICIBANK,2,150,240,360,600,0.003458,0.350204,148,39.86
ICICIBANK,2,150,240,840,600,0.007078,0.887326,129,40.31
ICICIBANK,2,120,600,840,480,-0.001169,-0.209068,152,34.21
ICICIBANK,3,180,240,360,480,-0.001087,-0.212768,158,35.44
ICICIBANK,3,180,240,360,720,0.010771,1.632809,116,43.97
INFY,1,30,120,60,120,-0.007827,-0.486691,500,33.60
INFY,1,30,240,60,120,-0.007828,-0.489355,497,33.80
INFY,1,30,360,60,120,-0.008687,-0.542349,496,33.47
INFY,1,30,480,60,120,-0.008604,-0.538094,494,33.40
INFY,1,30,600,60,120,-0.008390,-0.526385,492,33.54
INFY,1,30,720,60,120,-0.008354,-0.526940,489,33.54
INFY,1,60,120,120,240,-0.006009,-0.712408,290,36.90
INFY,1,60,240,120,240,-0.006009,-0.712408,290,36.90
INFY,1,60,360,120,240,-0.006823,-0.808111,289,36.33
INFY,1,60,480,120,240,-0.006598,-0.782728,288,36.46
INFY,1,60,600,120,240,-0.006481,-0.773563,286,36.36
INFY,1,60,720,120,240,-0.005623,-0.669209,284,36.62
INFY,1,90,120,180,360,-0.010195,-1.628197,220,40.00
INFY,1,90,240,180,360,-0.010195,-1.628197,220,40.00
INFY,1,90,360,180,360,-0.010195,-1.628197,220,40.00
INFY,1,90,480,180,360,-0.010002,-1.601527,219,40.18
INFY,1,90,600,180,360,-0.009676,-1.562425,217,40.55
INFY,1,90,720,180,360,-0.008876,-1.425096,216,40.74
INFY,1,120,240,240,480,-0.002125,-0.450744,173,39.31
INFY,1,120,360,240,480,-0.002125,-0.450744,173,39.31
INFY,1,120,480,240,480,-0.002125,-0.450744,173,39.31
INFY,1,120,600,240,480,-0.001854,-0.398483,171,39.18
INFY,1,120,720,240,480,-0.002862,-0.603705,171,39.18
INFY,1,150,240,300,600,0.001732,0.239506,151,37.09
INFY,1,150,360,300,600,0.001732,0.239506,151,37.09
INFY,1,150,480,300,600,0.001732,0.239506,151,37.09
INFY,1,150,600,300,600,0.001732,0.239506,151,37.09
INFY,1,150,720,300,600,0.000551,-0.005809,151,37.09
INFY,1,180,240,360,720,-0.005961,-1.848872,123,34.15
INFY,1,180,360,360,720,-0.005961,-1.848872,123,34.15
INFY,1,180,480,360,720,-0.005961,-1.848872,123,34.15
INFY,1,180,600,360,720,-0.005961,-1.848872,123,34.15
INFY,1,180,720,360,720,-0.005961,-1.848872,123,34.15
INFY,2,150,240,360,600,0.001182,0.124339,153,35.95
INFY,2,150,240,840,600,-0.005410,-1.423946,139,37.41
INFY,2,120,600,840,480,-0.006336,-1.134177,154,35.71
INFY,2,60,720,840,240,-0.011780,-1.599125,228,34.65
INFY,3,150,240,360,480,-0.000921,-0.178921,172,40.70
INFY,3,150,240,360,720,-0.006214,-1.813606,131,34.35
RELIANCE,1,30,120,60,120,-0.014217,-0.612407,501,32.93
RELIANCE,1,30,240,60,120,-0.014217,-0.612407,501,32.93
RELIANCE,1,30,360,60,120,-0.013983,-0.605748,498,33.13
RELIANCE,1,30,480,60,120,-0.013677,-0.594679,496,33.27
RELIANCE,1,30,600,60,120,-0.013398,-0.585920,493,33.47
RELIANCE,1,30,720,60,120,-0.013312,-0.584334,491,33.40
RELIANCE,1,60,120,120,240,-0.004795,-0.380616,300,35.00
RELIANCE,1,60,240,120,240,-0.004795,-0.380616,300,35.00
RELIANCE,1,60,360,120,240,-0.004358,-0.349274,298,34.90
RELIANCE,1,60,480,120,240,-0.003930,-0.318525,296,35.14
RELIANCE,1,60,600,120,240,-0.003758,-0.307253,294,35.37
RELIANCE,1,60,720,120,240,-0.003697,-0.303522,293,35.49
RELIANCE,1,90,120,180,360,-0.004778,-0.543760,220,35.00
RELIANCE,1,90,240,180,360,-0.004778,-0.543760,220,35.00
RELIANCE,1,90,360,180,360,-0.004778,-0.543760,220,35.00
RELIANCE,1,90,480,180,360,-0.004332,-0.502202,217,35.48
RELIANCE,1,90,600,180,360,-0.004143,-0.483689,216,35.65
RELIANCE,1,90,720,180,360,-0.004050,-0.477688,214,35.98
RELIANCE,1,120,240,240,480,-0.006871,-0.961765,177,33.90
RELIANCE,1,120,360,240,480,-0.006871,-0.961765,177,33.90
RELIANCE,1,120,480,240,480,-0.006871,-0.961765,177,33.90
RELIANCE,1,120,600,240,480,-0.006824,-0.960408,176,34.09
RELIANCE,1,120,720,240,480,-0.006977,-0.983601,175,33.71
RELIANCE,1,150,240,300,600,-0.004326,-0.746158,148,35.14
RELIANCE,1,150,360,300,600,-0.004326,-0.746158,148,35.14
RELIANCE,1,150,480,300,600,-0.004326,-0.746158,148,35.14
RELIANCE,1,150,600,300,600,-0.004326,-0.746158,148,35.14
RELIANCE,1,150,720,300,600,-0.004546,-0.784893,147,34.69
RELIANCE,1,180,240,360,720,-0.002260,-0.520096,117,36.75
RELIANCE,1,180,360,360,720,-0.002260,-0.520096,117,36.75
RELIANCE,1,180,480,360,720,-0.002260,-0.520096,117,36.75
RELIANCE,1,180,600,360,720,-0.002260,-0.520096,117,36.75
RELIANCE,1,180,720,360,720,-0.002260,-0.520096,117,36.75
RELIANCE,2,180,240,360,720,-0.002260,-0.520096,117,36.75
RELIANCE,2,180,240,840,720,-0.003063,-0.668902,118,37.29
RELIANCE,2,60,720,840,240,-0.006053,-0.563649,226,33.19
RELIANCE,2,90,720,840,360,-0.004646,-0.602646,177,35.59
RELIANCE,3,180,240,360,480,-0.002275,-0.384353,152,40.13
RELIANCE,3,180,240,360,720,-0.002260,-0.520096,117,36.75
